Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
DNONCE (7114),MAIN,D'NONCE TECHNOLOGY BHD,Packaging Materials ,56.44m,0.07,-,0.00,-2.15
DOLPHIN (5265),MAIN,DOLPHIN INTERNATIONAL BERHAD,"Industrial Materials, Components & Equipment ",29.43m,0.22,-,0.00,-29.78
DOMINAN (7169),MAIN,DOMINANT ENTERPRISE BERHAD,Wood & Wood Products ,128.89m,0.78,8.32,3.85,4.32
DPHARMA (7148),MAIN,DUOPHARMA BIOTECH BERHAD,Pharmaceuticals ,1.174b,1.22,22.30,1.89,7.70
DPIH (0205),ACE,DPI HOLDINGS BERHAD,Household Goods ,135.07m,0.19,28.46,0.81,5.42
DPS (7198),MAIN,DPS RESOURCES BERHAD,Property ,105.80m,0.50,14.25,0.00,3.44
DRBHCOM (1619),MAIN,DRB-HICOM BERHAD,Automotive ,2.842b,1.47,11.89,1.36,3.15
DSONIC (5216),MAIN,DATASONIC GROUP BERHAD,Digital Services ,1.303b,0.44,17.05,4.55,20.81
DSR (03055),LEAP,DSR TAIKO BERHAD,Plantation ,417.89m,1.28,-,0.00,-
DSS (0269),ACE,DS SIGMA HOLDINGS BERHAD,Packaging Materials ,156.00m,0.33,22.57,2.31,6.26
DUFU (7233),MAIN,DUFU TECHNOLOGY CORP. BERHAD,"Industrial Materials, Components & Equipment ",979.94m,1.80,40.27,3.61,6.98
DUTALND (3948),MAIN,DUTALAND BERHAD,Plantation ,258.07m,0.31,13.80,0.00,1.52
DXN (5318),MAIN,DXN HOLDINGS BHD.,Retailers ,3.066b,0.62,10.68,4.23,22.15
DYNAFNT (03046),LEAP,DYNAFRONT HOLDINGS BERHAD,Software ,105.84m,0.98,-,1.84,-
E&O (3417),MAIN,EASTERN & ORIENTAL BERHAD,Property ,2.204b,1.09,19.46,0.00,4.83
EAH (0154),ACE,EA HOLDINGS BERHAD,Digital Services ,32.26m,0.01,-,0.00,-
EATECH (5259),MAIN,E.A.TECHNIQUE (M) BERHAD,Transportation & Logistics Services ,169.76m,0.32,7.16,0.00,40.64
ECA (0267),ACE,ECA INTEGRATED SOLUTION BERHAD,Technology Equipment ,228.72m,0.40,33.19,0.00,10.82
ECM (2143),MAIN,ECM LIBRA GROUP BERHAD,Other Financials ,106.49m,0.22,4.26,0.00,12.62
ECOFIRS (3557),MAIN,ECOFIRST CONSOLIDATED BHD,Property ,416.73m,0.35,-,0.00,-0.30
