Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
THPLANT (5112),MAIN,TH PLANTATIONS BERHAD,Plantation ,649.63m,0.74,13.95,2.72,6.51
THRIVEN (7889),MAIN,THRIVEN GLOBAL BERHAD,Property ,68.37m,0.13,-,0.00,-42.05
TIENWAH (7374),MAIN,TIEN WAH PRESS HOLDINGS BERHAD,Industrial Services ,122.31m,0.85,14.25,6.63,3.09
TIMECOM (5031),MAIN,TIME DOTCOM BERHAD,Telecommunications Service Providers ,9.577b,5.18,3.73,16.56,62.03
TIMWELL (7854),MAIN,TIMBERWELL BERHAD,Wood & Wood Products ,42.30m,0.48,-,4.21,-3.60
TITIJYA (5239),MAIN,TITIJAYA LAND BERHAD,Property ,354.69m,0.27,106.00,0.00,0.28
TJSETIA (5297),MAIN,TUJU SETIA BERHAD,Construction ,63.37m,0.20,-,0.00,-14.05
TM (4863),MAIN,TELEKOM MALAYSIA BERHAD,Telecommunications Service Providers ,23.294b,6.07,12.45,4.12,20.41
TMCLIFE (0101),MAIN,TMC LIFE SCIENCES BERHAD,Health Care Providers ,1.184b,0.68,20.73,0.60,6.56
TNLOGIS (8397),MAIN,TIONG NAM LOGISTICS HOLDINGS BERHAD,Transportation & Logistics Services ,395.87m,0.75,5.36,0.00,7.68
TOCEAN (7218),MAIN,TRANSOCEAN HOLDINGS BHD,Transportation & Logistics Services ,102.20m,1.57,-,0.00,-1.86
TOMEI (7230),MAIN,TOMEI CONSOLIDATED BERHAD,Retailers ,206.51m,1.49,4.45,2.68,11.60
TOMYPAK (7285),MAIN,TOMYPAK HOLDINGS BERHAD,Packaging Materials ,161.67m,0.38,2.02,2.67,64.03
TONGHER (5010),MAIN,TONG HERR RESOURCES BERHAD,Metals ,358.94m,2.28,55.88,8.77,1.13
TOPGLOV (7113),MAIN,TOP GLOVE CORPORATION BHD,Health Care Equipment & Services ,6.648b,0.81,-,0.00,-14.76
TOPMIX (0302),ACE,TOPMIX BERHAD,N/A,-,0.00,-,-,-
TOPVISN (03013),LEAP,TOPVISION EYE SPECIALIST BERHAD,Health Care Providers ,185.31m,0.73,-,1.10,-
TOYOVEN (7173),MAIN,TOYO VENTURES HOLDINGS BERHAD,Chemicals ,124.25m,0.94,39.29,1.93,2.07
TPC (7176),MAIN,TPC PLUS BERHAD,Agricultural Products ,117.13m,0.38,2.69,0.00,38.19
TRC (5054),MAIN,TRC SYNERGY BERHAD,Construction ,230.64m,0.48,9.11,2.50,4.58
TRIMODE (0199),ACE,TRI-MODE SYSTEM (M) BERHAD,Transportation & Logistics Services ,58.93m,0.36,23.51,2.96,2.70
TRIVE (0118),MAIN,TRIVE PROPERTY GROUP BERHAD,Technology Equipment ,69.50m,0.06,-,0.00,-34.67
TROP (5401),MAIN,TROPICANA CORPORATION BERHAD,Property ,2.803b,1.22,-,0.00,-3.99
TSA (0297),ACE,TSA GROUP BERHAD,Metals ,239.71m,0.78,-,0.00,-
TSH (9059),MAIN,TSH RESOURCES BERHAD,Plantation ,1.589b,1.15,16.74,2.17,4.63
TSRCAP (5042),MAIN,TSR CAPITAL BERHAD,Construction ,47.97m,0.28,3.02,0.00,10.85
TTVHB (0272),ACE,TT VISION HOLDINGS BERHAD,Semiconductors ,465.66m,1.00,43.45,0.00,10.41
TUNEPRO (5230),MAIN,TUNE PROTECT GROUP BERHAD,Insurance ,241.17m,0.32,-,0.00,-0.19
TURBO (5167),MAIN,TURBO-MECH BERHAD,"Industrial Materials, Components & Equipment ",70.20m,0.65,24.90,0.77,2.21
TURIYA (4359),MAIN,TURIYA BERHAD,Semiconductors ,64.04m,0.28,15.05,0.00,3.21
TWL (7079),MAIN,TWL HOLDINGS BERHAD,Property ,169.47m,0.03,23.08,0.00,1.30
TWRREIT (5111),MAIN,TOWER REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,99.58m,0.36,-,1.63,-3.57
UCHITEC (7100),MAIN,UCHI TECHNOLOGIES BERHAD,"Industrial Materials, Components & Equipment ",1.821b,3.94,13.46,7.61,66.52
UCREST (0005),ACE,UCREST BERHAD,Technology Equipment ,77.90m,0.11,12.21,0.00,17.20
UEMS (5148),MAIN,UEM SUNRISE BERHAD,Property ,5.767b,1.14,76.00,0.66,1.11
ULICORP (7133),MAIN,UNITED U-LI CORPORATION BERHAD,"Industrial Materials, Components & Equipment ",320.17m,1.47,7.75,5.44,11.02
UMC (0256),ACE,UMEDIC GROUP BERHAD,Health Care Equipment & Services ,235.56m,0.63,24.14,0.00,14.50
UMCCA (2593),MAIN,UNITED MALACCA BERHAD,Plantation ,1.059b,5.05,24.62,2.38,2.99
UMS (7137),MAIN,UMS HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",85.45m,2.10,10.57,4.76,4.66
UMSNGB (7227),MAIN,UMS-NEIKEN GROUP BERHAD,"Industrial Materials, Components & Equipment ",94.40m,1.18,18.88,2.54,3.98
UNIMECH (7091),MAIN,UNIMECH GROUP BERHAD,"Industrial Materials, Components & Equipment ",247.26m,1.64,8.53,3.78,8.29
UNIQUE (0257),ACE,UNIQUE FIRE HOLDINGS BERHAD,Industrial Services ,108.00m,0.27,14.52,2.22,8.86
UNISEM (5005),MAIN,UNISEM (M) BERHAD,Semiconductors ,6.162b,3.82,76.86,2.09,3.36
UNITRAD (0247),ACE,UNITRADE INDUSTRIES BERHAD,Building Materials ,468.75m,0.30,19.61,1.47,6.95
UNIWALL (03017),LEAP,UNI WALL APS HOLDINGS BERHAD,Construction ,577.81m,0.79,-,0.00,-
UOADEV (5200),MAIN,UOA DEVELOPMENT BHD,Property ,4.684b,1.88,16.76,10.64,5.17
UOAREIT (5110),MAIN,UOA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,749.91m,1.11,13.93,7.05,5.57
UPA (7757),MAIN,UPA CORPORATION BHD,Consumer Services ,183.83m,0.77,21.21,3.46,3.02
UTAMA (03043),LEAP,UCI RESOURCES BERHAD,Building Materials ,90.02m,0.27,-,0.56,-
UTDPLT (2089),MAIN,UNITED PLANTATIONS BERHAD,Plantation ,9.866b,23.70,13.94,8.02,23.65
UWC (5292),MAIN,UWC BERHAD,Semiconductors ,3.152b,2.86,198.61,0.00,3.60
UZMA (7250),MAIN,UZMA BERHAD,"Energy Infrastructure, Equipment & Services ",507.27m,1.31,11.42,0.00,7.70
VARIA (5006),MAIN,VARIA BERHAD,Construction ,362.79m,0.87,-,0.00,-
VELESTO (5243),MAIN,VELESTO ENERGY BERHAD,"Energy Infrastructure, Equipment & Services ",2.424b,0.30,24.38,0.85,4.03
VELOCITY (7165),MAIN,VELOCITY CAPITAL PARTNER BERHAD,Building Materials ,62.16m,0.05,-,0.00,-3.40
VERSATL (4995),MAIN,VERSATILE CREATIVE BERHAD,Packaging Materials ,180.66m,0.65,201.56,0.00,1.14
VINVEST (0069),ACE,VINVEST CAPITAL HOLDINGS BERHAD,Software ,43.61m,0.05,-,0.00,-22.89
VIS (0120),ACE,VISDYNAMICS HOLDINGS BERHAD,Semiconductors ,101.18m,0.39,21.75,2.60,7.08
VITROX (0097),MAIN,VITROX CORPORATION BERHAD,Semiconductors ,7.355b,7.78,57.33,0.69,13.38
VIZIONE (7070),MAIN,VIZIONE HOLDINGS BERHAD,Construction ,81.91m,0.04,-,0.00,-
VLB (0273),ACE,VESTLAND BERHAD,Construction ,335.23m,0.36,12.07,0.00,18.04
VOLCANO (0232),ACE,VOLCANO BERHAD,Industrial Services ,106.25m,0.59,-,2.77,-
VS (6963),MAIN,V.S. INDUSTRY BERHAD,"Industrial Materials, Components & Equipment ",3.435b,0.89,21.74,2.49,7.02
VSOLAR (0066),ACE,VSOLAR GROUP BERHAD,Software ,92.67m,0.12,-,0.00,-1.04
VSTECS (5162),MAIN,VSTECS BERHAD,Technology Equipment ,943.20m,2.62,13.99,2.52,14.63
WAJA (0102),ACE,WAJA KONSORTIUM BERHAD,"Industrial Materials, Components & Equipment ",50.18m,0.05,-,0.00,-
WANGZNG (7203),MAIN,WANG-ZHENG BERHAD,Household Goods ,108.80m,0.68,14.91,2.21,3.53
WARISAN (5016),MAIN,WARISAN TC HOLDINGS BERHAD,"Travel, Leisure & Hospitality ",69.22m,1.03,-,0.00,-0.68
WASCO (5142),MAIN,WASCO BERHAD,"Energy Infrastructure, Equipment & Services ",953.11m,1.23,8.79,0.00,15.37
WATTA (7226),MAIN,WATTA HOLDING BERHAD,Auto Parts ,43.08m,0.51,-,0.00,-3.76
WCEHB (3565),MAIN,WCE HOLDINGS BERHAD,Construction ,2.928b,0.98,33.91,0.00,8.33
WCT (9679),MAIN,WCT HOLDINGS BERHAD,Construction ,765.80m,0.54,-,0.93,-8.78
WEGMANS (0197),MAIN,WEGMANS HOLDINGS BERHAD,Household Goods ,112.76m,0.21,16.02,2.44,5.57
WELLCAL (7231),MAIN,WELLCALL HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",821.61m,1.65,13.22,4.97,44.41
WELLS (0271),ACE,WELLSPIRE HOLDINGS BERHAD,Food & Beverages ,473.56m,0.67,179.73,0.00,5.00
WENTEL (0298),ACE,WENTEL ENGINEERING HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",368.00m,0.32,-,0.00,-
WIDAD (0162),ACE,WIDAD GROUP BERHAD,Construction ,263.20m,0.09,-,0.00,-3.60
WILLOW (0008),MAIN,WILLOWGLEN MSC BERHAD,Software ,183.52m,0.37,16.89,4.05,5.09
WMG (6378),MAIN,WMG HOLDINGS BERHAD,Property ,93.36m,0.21,-,0.00,-1.16
WONG (7050),MAIN,WONG ENGINEERING CORPORATION BERHAD,"Industrial Materials, Components & Equipment ",69.34m,0.28,-,0.00,-12.41
WOODLAN (7025),MAIN,WOODLANDOR HOLDINGS BHD,Wood & Wood Products ,30.20m,0.76,-,0.00,-7.37
WPRTS (5246),MAIN,WESTPORTS HOLDINGS BERHAD,Transportation & Logistics Services ,12.958b,3.80,16.62,4.45,22.15
WTHORSE (5009),MAIN,WHITE HORSE BERHAD,Building Materials ,189.60m,0.79,-,0.00,-2.72
WTK (4243),MAIN,WTK HOLDINGS BERHAD,Wood & Wood Products ,231.05m,0.48,-,3.12,-2.46
XDL (5156),MAIN,XIDELANG HOLDINGS LTD,Personal Goods ,63.49m,0.03,-,0.00,-0.79
XINHWA (5267),MAIN,XIN HWA HOLDINGS BERHAD,Transportation & Logistics Services ,56.24m,0.22,-,0.00,-11.70
XL (7121),MAIN,XL HOLDINGS BERHAD,Consumer Services ,204.53m,0.76,-,0.00,-
XOX (0165),ACE,XOX BHD,Telecommunications Service Providers ,51.91m,0.01,-,0.00,-55.17
XOXNET (0140),ACE,XOX NETWORKS BERHAD,Consumer Services ,34.07m,0.03,-,0.00,-23.25
XOXTECH (0017),ACE,XOX TECHNOLOGY BERHAD,Telecommunications Equipment ,44.81m,0.05,31.25,0.00,4.10
Y&G (7003),MAIN,Y&G CORPORATION BHD,Property ,144.20m,0.66,22.76,0.00,1.99
YB (5048),MAIN,YB VENTURES BERHAD,Building Materials ,69.93m,0.24,-,0.00,-11.72
YBS (0025),ACE,YBS INTERNATIONAL BERHAD,"Industrial Materials, Components & Equipment ",202.89m,0.79,-,0.00,-2.04
YENHER (5300),MAIN,YENHER HOLDINGS BERHAD,Agricultural Products ,261.00m,0.87,12.32,3.45,9.01
YEWLEE (0248),ACE,YEW LEE PACIFIC GROUP BERHAD,"Industrial Materials, Components & Equipment ",211.25m,0.40,-,0.76,-2.26
YGL (0086),ACE,YGL CONVERGENCE BERHAD,Software ,38.04m,0.14,-,0.00,-1.32
YINSON (7293),MAIN,YINSON HOLDINGS BERHAD,"Energy Infrastructure, Equipment & Services ",7.515b,2.36,7.80,0.85,16.19
YLI (7014),MAIN,YLI HOLDINGS BERHAD,Metals ,41.18m,0.40,1.40,0.00,20.88
YNHPROP (3158),MAIN,YNH PROPERTY BERHAD,Property ,275.08m,0.52,-,0.00,-
YOCB (5159),MAIN,YOONG ONN CORPORATION BERHAD,Household Goods ,296.00m,1.85,8.34,4.05,11.20
YONGTAI (7066),MAIN,YONG TAI BERHAD,Property ,94.53m,0.25,-,0.00,-12.34
YSPSAH (7178),MAIN,Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,Pharmaceuticals ,346.10m,2.44,9.27,4.10,9.43
YTL (4677),MAIN,YTL CORPORATION BERHAD,"Gas, Water & Multi-utilities ",29.547b,2.68,14.73,1.49,13.09
YTLPOWR (6742),MAIN,YTL POWER INTERNATIONAL BHD,"Gas, Water & Multi-utilities ",32.310b,3.96,9.67,1.52,18.13
YTLREIT (5109),MAIN,YTL HOSPITALITY REIT,Real Estate Investment Trusts ,2.028b,1.19,12.54,6.25,5.53
YXPM (0250),ACE,YX PRECIOUS METALS BHD,Personal Goods ,104.20m,0.28,11.57,2.86,8.64
ZANTAT (0301),ACE,ZANTAT HOLDINGS BERHAD,Chemicals ,140.00m,0.50,-,0.00,-
ZECON (7028),MAIN,ZECON BERHAD,Construction ,59.70m,0.41,28.12,0.00,0.92
ZELAN (2283),MAIN,ZELAN BERHAD,Construction ,59.14m,0.07,0.90,0.00,43.11
ZENTECH (0094),ACE,ZEN TECH INTERNATIONAL BERHAD,Software ,43.88m,0.02,-,0.00,-2.33
ZHULIAN (5131),MAIN,ZHULIAN CORPORATION BERHAD,Consumer Services ,667.00m,1.45,22.80,8.97,6.33
